OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
292430974,370,8th & O St NW,31281,38.90864,-77.02277,YES,NO,,,NO,10,9,398025.08145063,137864.65778749,,DC
292430975,371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,YES,NO,,,NO,4,15,397585.82737487,143714.82919728,,DC
292430976,373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,YES,NO,,,NO,12,7,402183.685683,136292.1725555,,DC
292430977,374,Maryland Ave & E St NE,31640,38.896134,-76.9929,YES,NO,,,NO,9,10,400615.91481674,136476.16859309,,DC
292430978,375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,YES,NO,,,NO,3,20,401415.09002301,138637.59947305,,DC
292430979,376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,YES,NO,,,NO,7,12,393013.83863539,142034.97914405,,DC
292430980,378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,YES,NO,,,NO,7,8,383153.18792963,159713.13218025,,
292430981,379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,YES,NO,,,NO,7,12,389763.20231192,136723.31546751,,
292430982,380,Saint Asaph St & Madison St,31097,38.812718,-77.044097,YES,NO,,,NO,12,3,396170.17569938,127217.29681658,,
292430983,381,King St Metro North / Cameron St,31098,38.80704,-77.059817,YES,NO,,,NO,4,10,394804.48092072,126587.77988315,,
292430984,382,Madison St & N Henry St,31099,38.813485,-77.049468,YES,NO,,,NO,8,7,395703.75054801,127302.6777771,,
292430985,383,Medical Center Metro,32053,38.999378,-77.097882,YES,NO,,,NO,12,7,391521.16731482,147941.70542165,,
292430986,384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,YES,NO,,,NO,2,9,388922.97236949,135228.94699865,,
292430987,385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,YES,NO,,,NO,1,17,392664.34410016,143376.84095484,,DC
292430988,386,16th & Irving St NW,31122,38.928893,-77.03625,YES,NO,,,NO,12,7,396856.808607,140113.28859173,,DC
292430989,387,16th & R St NW,31282,38.912652,-77.036278,YES,NO,,,NO,16,3,396853.66429606,138310.40167951,,DC
292430990,388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,YES,NO,,,NO,6,9,395567.69234355,147971.8160368,,
292430991,389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,YES,NO,,,NO,2,9,391896.62547178,145776.283872,,
292430992,390,14th & L St NW,31283,38.903658,-77.031737,YES,NO,,,NO,5,14,397247.15119261,137311.8474609,,DC
292430993,391,1st & O St NW,31519,38.908643,-77.012365,YES,NO,,,NO,7,8,398927.54207227,137864.81714313,,DC
